	wavname	expcode	dialoguenr	trialnr	code_conditie_send	code_overlap_send	code_blok	code_item	code_tempo	code_conditie	code_overlap				
1	3_1_4d_525_Mi_Ar.wav	0	0	1	3994	6654	230	78	97	211	99	10	20	40	60
2	3_1_5d_525_Mi_Ar.wav	0	1	1	3982	6553	240	78	197	221	199	10	20	40	60
3	3_3_25b_425_Ro_Mi.wav	0	0	2	3369	5565	230	89	96	213	99	10	20	40	60
4	3_3_26b_425_Ro_Mi.wav	0	1	2	3409	5612	240	89	196	223	199	10	20	40	60
5	1_3_7b_525_Ar_Ja.wav	0	0	3	3077	5837	230	80	97	213	98	10	20	40	60
6	1_3_8b_525_Ar_Ja.wav	0	1	3	3107	5702	240	80	197	223	198	10	20	40	60
7	1_3_1d_425_Mi_Ar.wav	0	0	4	2498	4852	230	77	96	213	98	10	20	40	60
8	1_3_2d_425_Mi_Ar.wav	1	1	4	2600	4873	240	77	196	223	198	10	20	40	60
9	3_1_10d_525_Ja_Ar.wav	0	0	5	3985	6688	231	81	97	211	99	10	20	40	60
10	3_1_11d_525_Ja_Ar.wav	0	1	5	4000	6696	241	81	197	221	199	10	20	40	60
11	3_3_31c_525_Ja_Ro.wav	0	0	6	4141	6772	231	92	97	213	99	10	20	40	60
12	3_3_32c_525_Ja_Ro.wav	0	1	6	4128	6934	241	92	197	223	199	10	20	40	60
13	3_1_22b_525_Ko_Ja.wav	0	0	7	4064	6696	231	87	97	211	99	10	20	40	60
14	3_1_23b_525_Ko_Ja.wav	0	1	7	3988	6650	241	87	197	221	199	10	20	40	60
15	3_1_28c_525_Mi_Ro.wav	0	0	8	3948	6603	231	90	97	211	99	10	20	40	60
16	3_1_29c_525_Mi_Ro.wav	0	1	8	4028	6599	241	90	197	221	199	10	20	40	60
17	3_3_25b_525_Ro_Mi.wav	0	0	9	4099	6695	231	89	97	213	99	10	20	40	60
18	3_3_26b_525_Ro_Mi.wav	0	1	9	4139	6742	241	89	197	223	199	10	20	40	60
19	3_2_49d_525_Mi_Ro.wav	0	0	10	3829	6537	231	91	97	212	99	10	20	40	60
20	3_2_50d_525_Mi_Ro.wav	0	1	10	3891	6599	241	91	197	222	199	10	20	40	60
21	3_2_40a_525_Ar_Ja.wav	0	0	11	3835	6543	231	82	97	212	99	10	20	40	60
22	3_2_41a_525_Ar_Ja.wav	0	1	11	3870	6468	241	82	197	222	199	10	20	40	60
23	3_3_7c_525_Ja_Ar.wav	0	0	12	4179	6863	231	80	97	213	99	10	20	40	60
24	3_3_8c_525_Ja_Ar.wav	0	1	12	4218	6779	241	80	197	223	199	10	20	40	60
25	3_2_46c_525_Ja_Ko.wav	0	0	13	3817	6525	231	88	97	212	99	10	20	40	60
26	3_2_47c_525_Ja_Ko.wav	3	1	13	3903	6611	241	88	197	222	199	10	20	40	60
27	3_1_34d_525_Ja_Ro.wav	0	0	14	4038	6667	232	93	97	211	99	10	20	40	60
28	3_1_35d_525_Ja_Ro.wav	0	1	14	4029	6667	242	93	197	221	199	10	20	40	60
29	3_2_37d_525_Mi_Ar.wav	0	0	15	3912	6542	232	79	97	212	99	10	20	40	60
30	3_2_38d_525_Mi_Ar.wav	0	1	15	3830	6500	242	79	197	222	199	10	20	40	60
31	3_2_43b_525_Ko_Mi.wav	0	0	16	3865	6496	232	85	97	212	99	10	20	40	60
32	3_2_45b_525_Ko_Mi.wav	0	1	16	3819	6439	242	85	197	222	199	10	20	40	60
33	3_1_4c_525_Mi_Ar.wav	0	0	17	4058	6643	232	78	97	211	99	10	20	40	60
34	3_1_5c_525_Mi_Ar.wav	0	1	17	3994	6593	242	78	197	221	199	10	20	40	60
35	3_3_19a_525_Ko_Ja.wav	0	0	18	4142	6747	232	86	97	213	99	10	20	40	60
36	3_3_20a_525_Ko_Ja.wav	0	1	18	4150	6702	242	86	197	223	199	10	20	40	60
37	3_3_15d_525_Mi_Ko.wav	0	0	19	4140	6916	232	83	97	213	99	10	20	40	60
38	3_3_13d_525_Mi_Ko.wav	0	1	19	4134	6719	242	83	197	223	199	10	20	40	60
39	3_1_16a_525_Ko_Mi.wav	0	0	20	4055	6626	232	84	97	211	99	10	20	40	60
40	3_1_17a_525_Ko_Mi.wav	0	1	20	4023	6660	242	84	197	221	199	10	20	40	60
41	3_2_52a_525_Ro_Ja.wav	0	0	21	3815	6373	232	94	97	212	99	10	20	40	60
42	3_2_53a_525_Ro_Ja.wav	0	1	21	3835	6543	242	94	197	222	199	10	20	40	60
43	3_3_1b_525_Ar_Mi.wav	0	0	22	4078	6832	232	77	97	213	99	10	20	40	60
44	3_3_2b_525_Ar_Mi.wav	3	1	22	4180	6853	242	77	197	223	199	10	20	40	60
45	3_1_34c_425_Ja_Ro.wav	0	0	23	3242	5505	233	93	96	211	99	10	20	40	60
46	3_1_35c_425_Ja_Ro.wav	0	1	23	3303	5473	243	93	196	221	199	10	20	40	60
47	3_2_43a_425_Ko_Mi.wav	0	0	24	3160	5345	233	85	96	212	99	10	20	40	60
48	3_2_44a_425_Ko_Mi.wav	0	1	24	3195	5437	243	85	196	222	199	10	20	40	60
49	3_3_25a_425_Ro_Mi.wav	0	0	25	3450	5735	233	89	96	213	99	10	20	40	60
50	3_3_26a_425_Ro_Mi.wav	0	1	25	3447	5565	243	89	196	223	199	10	20	40	60
51	3_2_41d_425_Ja_Ar.wav	0	0	26	3160	5389	233	82	96	212	99	10	20	40	60
52	3_2_42d_425_Ja_Ar.wav	0	1	26	3242	5472	243	82	196	222	199	10	20	40	60
53	3_3_1a_425_Ar_Mi.wav	0	0	27	3425	5588	233	77	96	213	99	10	20	40	60
54	3_3_2a_425_Ar_Mi.wav	0	1	27	3428	5636	243	77	196	223	199	10	20	40	60
55	3_2_52d_425_Ja_Ro.wav	0	0	28	3441	5711	233	94	96	212	99	10	20	40	60
56	3_2_54d_425_Ja_Ro.wav	0	1	28	3398	5657	243	94	196	222	199	10	20	40	60
57	3_3_7b_425_Ar_Ja.wav	0	0	29	3397	5757	233	80	96	213	99	10	20	40	60
