play_nr	wavname	expcode	dialoguenr	trialnr	code_conditie_send	code_overlap_send	code_blok	code_item	code_tempo	code_conditie	code_overlap	left_left_border	left_right_border	right_left_border	right_right_border
1	3_1_13c_425_Mi_Ko.wav	0	0	1	3300	5613	230	83	96	211	99	5	15	30	40
2	3_1_14c_425_Mi_Ko.wav	0	1	1	3260	5424	240	83	196	221	199	5	15	30	40
3	3_2_4c_525_Mi_Ar.wav	0	0	2	3900	6485	230	78	97	212	99	25	35	80	90
4	3_2_5c_525_Mi_Ar.wav	0	1	2	3836	6435	240	78	197	222	199	25	35	80	90
5	1_2_10b_525_Ar_Ja.wav	0	0	3	2777	5480	230	81	97	212	98	35	45	70	80
6	1_2_11b_525_Ar_Ja.wav	0	1	3	2792	5488	240	81	197	222	198	35	45	70	80
7	1_3_51a_425_Ro_Mi.wav	0	0	4	2564	4872	230	91	96	213	98	55	65	80	90
8	1_3_49a_425_Ro_Mi.wav	1	1	4	2551	4680	240	91	196	223	198	55	65	80	90
9	1_2_22c_525_Ja_Ko.wav	0	0	5	2806	5471	231	87	97	212	98	5	15	30	40
10	1_2_23c_525_Ja_Ko.wav	0	1	5	2847	5400	241	87	197	222	198	5	15	30	40
11	1_2_34a_525_Ro_Ja.wav	0	0	6	2734	5397	231	93	97	212	98	5	15	30	40
12	1_2_35a_525_Ro_Ja.wav	0	1	6	2795	5365	241	93	197	222	198	5	15	30	40
13	1_2_10a_525_Ar_Ja.wav	0	0	7	2780	5434	231	81	97	212	98	5	15	30	40
14	1_2_11a_525_Ar_Ja.wav	0	1	7	2815	5476	241	81	197	222	198	5	15	30	40
15	1_3_52b_525_Ro_Ja.wav	0	0	8	3121	5791	231	94	97	213	98	5	15	30	40
16	1_3_54b_525_Ro_Ja.wav	0	1	8	3078	5737	241	94	197	223	198	5	15	30	40
17	1_3_37c_525_Mi_Ar.wav	0	0	9	3092	5689	231	79	97	213	98	5	15	40	50
18	1_3_38c_525_Mi_Ar.wav	0	1	9	3162	5733	241	79	197	223	198	5	15	40	50
19	1_1_21b_525_Ko_Ja.wav	0	0	10	2925	5545	231	86	97	211	98	5	15	40	50
20	1_1_19b_525_Ko_Ja.wav	0	1	10	3013	5606	241	86	197	221	198	5	15	40	50
21	1_2_16b_525_Ko_Mi.wav	0	0	11	2786	5379	231	84	97	212	98	5	15	40	50
22	1_2_17b_525_Ko_Mi.wav	0	1	11	2855	5398	241	84	197	222	198	5	15	40	50
23	1_2_28d_525_Mi_Ro.wav	0	0	12	2770	5369	231	90	97	212	98	5	15	40	50
24	1_2_29d_525_Mi_Ro.wav	0	1	12	2730	5392	241	90	197	222	198	5	15	40	50
25	1_3_51a_525_Ro_Mi.wav	0	0	13	3094	5802	231	91	97	213	98	5	15	50	60
26	1_3_49a_525_Ro_Mi.wav	3	1	13	3080	5609	241	91	197	223	198	5	15	50	60
27	1_1_7d_525_Ja_Ar.wav	0	0	14	2920	5680	232	80	97	211	98	5	15	50	60
28	1_1_8d_525_Ja_Ar.wav	0	1	14	2950	5545	242	80	197	221	198	5	15	50	60
29	1_3_43c_525_Mi_Ko.wav	0	0	15	3095	5680	232	85	97	213	98	5	15	50	60
30	1_3_44c_525_Mi_Ko.wav	0	1	15	3130	5838	242	85	197	223	198	5	15	50	60
31	1_1_25c_525_Mi_Ro.wav	0	0	16	2973	5658	232	89	97	211	98	5	15	50	60
32	1_1_26c_525_Mi_Ro.wav	0	1	16	2970	5488	242	89	197	221	198	5	15	50	60
33	1_3_41b_525_Ar_Ja.wav	0	0	17	3095	5724	232	82	97	213	98	5	15	60	70
34	1_3_42b_525_Ar_Ja.wav	0	1	17	3177	5807	242	82	197	223	198	5	15	60	70
35	1_3_48d_525_Ja_Ko.wav	0	0	18	3171	5879	232	88	97	213	98	5	15	60	70
36	1_3_46d_525_Ja_Ko.wav	0	1	18	3056	5671	242	88	197	223	198	5	15	60	70
37	1_1_31d_525_Ja_Ro.wav	0	0	19	3020	5546	232	92	97	211	98	5	15	60	70
38	1_1_32d_525_Ja_Ro.wav	0	1	19	2953	5560	242	92	197	221	198	5	15	60	70
