play_nr	wav_name	exp_code	part_nr	trial_nr	time_transition	time_duration	code_block	code_dialogue	code_tempo	code_turn_transition	code_overlap	left_left_border	left_right_border	right_left_border	right_right_border
1	1_2_31a_425_Ro_Ja.wav	0	0	1	2306	4537	230	92	96	212	98	5	15	30	40
2	1_2_32a_425_Ro_Ja.wav	0	1	1	2315	4721	240	92	196	222	198	5	15	30	40
3	1_3_34c_525_Ja_Ro.wav	0	0	2	3049	5712	230	93	97	213	98	25	35	80	90
4	1_3_35c_525_Ja_Ro.wav	0	1	2	3110	5680	240	93	197	223	198	25	35	80	90
5	3_3_10a_525_Ar_Ja.wav	0	0	3	4145	6799	230	81	97	213	99	35	45	70	80
6	3_3_11a_525_Ar_Ja.wav	0	1	3	4180	6841	240	81	197	223	199	35	45	70	80
7	3_2_7c_425_Ja_Ar.wav	0	0	4	3194	5478	230	80	96	212	99	55	65	80	90
8	3_2_8c_425_Ja_Ar.wav	1	1	4	3233	5394	240	80	196	222	199	55	65	80	90
9	1_1_41b_425_Ar_Ja.wav	0	0	5	2438	4667	231	82	96	211	98	5	15	30	40
10	1_1_42b_425_Ar_Ja.wav	0	1	5	2520	4750	241	82	196	221	198	5	15	30	40
11	1_1_52b_425_Ro_Ja.wav	0	0	6	2464	4734	231	94	96	211	98	5	15	30	40
12	1_1_54b_425_Ro_Ja.wav	0	1	6	2421	4680	241	94	196	221	198	5	15	30	40
13	1_1_43c_425_Mi_Ko.wav	0	0	7	2438	4623	231	85	96	211	98	5	15	30	40
14	1_1_44c_425_Mi_Ko.wav	0	1	7	2473	4715	241	85	196	221	198	5	15	30	40
15	1_3_4d_425_Mi_Ar.wav	0	0	8	2572	4832	231	78	96	213	98	5	15	30	40
16	1_3_5d_425_Mi_Ar.wav	0	1	8	2559	4730	241	78	196	223	198	5	15	30	40
17	1_1_48d_425_Ja_Ko.wav	0	0	9	2514	4769	231	88	96	211	98	5	15	40	50
18	1_1_46d_425_Ja_Ko.wav	0	1	9	2400	4615	241	88	196	221	198	5	15	40	50
19	1_2_25c_425_Mi_Ro.wav	0	0	10	2345	4630	231	89	96	212	98	5	15	40	50
20	1_2_26c_425_Mi_Ro.wav	0	1	10	2342	4460	241	89	196	222	198	5	15	40	50
21	1_2_1c_425_Mi_Ar.wav	0	0	11	2320	4483	231	77	96	212	98	5	15	40	50
22	1_2_2c_425_Mi_Ar.wav	0	1	11	2323	4531	241	77	196	222	198	5	15	40	50
23	1_3_34a_425_Ro_Ja.wav	0	0	12	2519	4782	231	93	96	213	98	5	15	40	50
24	1_3_35a_425_Ro_Ja.wav	0	1	12	2580	4750	241	93	196	223	198	5	15	40	50
25	1_1_51a_425_Ro_Mi.wav	0	0	13	2437	4745	231	91	96	211	98	5	15	50	60
26	1_1_49a_425_Ro_Mi.wav	3	1	13	2424	4553	241	91	196	221	198	5	15	50	60
27	1_3_22c_425_Ja_Ko.wav	0	0	14	2591	4856	232	87	96	213	98	5	15	50	60
28	1_3_23c_425_Ja_Ko.wav	0	1	14	2632	4785	242	87	196	223	198	5	15	50	60
29	1_3_10a_425_Ar_Ja.wav	0	0	15	2565	4819	232	81	96	213	98	5	15	50	60
30	1_3_11a_425_Ar_Ja.wav	0	1	15	2600	4861	242	81	196	223	198	5	15	50	60
31	1_2_21b_425_Ko_Ja.wav	0	0	16	2297	4517	232	86	96	212	98	5	15	50	60
32	1_2_19b_425_Ko_Ja.wav	0	1	16	2385	4578	242	86	196	222	198	5	15	50	60
33	1_1_37a_425_Ar_Mi.wav	0	0	17	2435	4632	232	79	96	211	98	5	15	60	70
34	1_1_38a_425_Ar_Mi.wav	0	1	17	2505	4676	242	79	196	221	198	5	15	60	70
35	1_3_28d_425_Mi_Ro.wav	0	0	18	2555	4754	232	90	96	213	98	5	15	60	70
36	1_3_29d_425_Mi_Ro.wav	0	1	18	2515	4777	242	90	196	223	198	5	15	60	70
37	1_2_31d_425_Ja_Ro.wav	0	0	19	2392	4518	232	92	96	212	98	5	15	60	70
38	1_2_32d_425_Ja_Ro.wav	0	1	19	2260	4467	242	92	196	222	198	5	15	60	70
39	1_2_13a_425_Ko_Mi.wav	0	0	20	2322	4635	232	83	96	212	98	5	15	60	70
40	1_2_14a_425_Ko_Mi.wav	0	1	20	2282	4446	242	83	196	222	198	5	15	60	70
41	1_3_16b_425_Ko_Mi.wav	0	0	21	2571	4764	232	84	96	213	98	15	25	40	50
42	1_3_17b_425_Ko_Mi.wav	0	1	21	2640	4783	242	84	196	223	198	15	25	40	50
43	1_2_7d_425_Ja_Ar.wav	0	0	22	2292	4652	232	80	96	212	98	15	25	40	50
44	1_2_8d_425_Ja_Ar.wav	3	1	22	2322	4517	242	80	196	222	198	15	25	40	50
45	1_1_52c_525_Ja_Ro.wav	0	0	23	2923	5481	233	94	97	211	98	15	25	40	50
46	1_1_53c_525_Ja_Ro.wav	0	1	23	2943	5651	243	94	197	221	198	15	25	40	50
47	1_3_34b_525_Ro_Ja.wav	0	0	24	3145	5774	233	93	97	213	98	15	25	40	50
48	1_3_35b_525_Ro_Ja.wav	0	1	24	3136	5774	243	93	197	223	198	15	25	40	50
49	1_3_28a_525_Ro_Mi.wav	0	0	25	3055	5710	233	90	97	213	98	15	25	50	60
50	1_3_29a_525_Ro_Mi.wav	0	1	25	3135	5706	243	90	197	223	198	15	25	50	60
51	1_2_7a_525_Ar_Ja.wav	0	0	26	2814	5498	233	80	97	212	98	15	25	50	60
52	1_2_8a_525_Ar_Ja.wav	0	1	26	2853	5414	243	80	197	222	198	15	25	50	60
53	1_2_15b_525_Ko_Mi.wav	0	0	27	2775	5551	233	83	97	212	98	15	25	50	60
54	1_2_13b_525_Ko_Mi.wav	0	1	27	2769	5354	243	83	197	222	198	15	25	50	60
55	1_3_16c_525_Mi_Ko.wav	0	0	28	3162	5733	233	84	97	213	98	15	25	50	60
56	1_3_17c_525_Mi_Ko.wav	0	1	28	3130	5767	243	84	197	223	198	15	25	50	60
57	1_3_22d_525_Ja_Ko.wav	0	0	29	3171	5803	233	87	97	213	98	15	25	60	70
58	1_3_23d_525_Ja_Ko.wav	0	1	29	3095	5757	243	87	197	223	198	15	25	60	70
59	1_1_49b_525_Ro_Mi.wav	0	0	30	2937	5645	233	91	97	211	98	15	25	60	70
60	1_1_50b_525_Ro_Mi.wav	0	1	30	2999	5707	243	91	197	221	198	15	25	60	70
61	1_2_4a_525_Ar_Mi.wav	0	0	31	2850	5435	233	78	97	212	98	15	25	60	70
62	1_2_5a_525_Ar_Mi.wav	3	1	31	2786	5385	243	78	197	222	198	15	25	60	70
63	1_2_1d_525_Mi_Ar.wav	0	0	32	2713	5467	234	77	97	212	98	15	25	60	70
64	1_2_2d_525_Mi_Ar.wav	0	1	32	2815	5488	244	77	197	222	198	15	25	60	70
65	1_1_43d_525_Mi_Ko.wav	0	0	33	2973	5604	234	85	97	211	98	15	25	70	80
66	1_1_45d_525_Mi_Ko.wav	0	1	33	2927	5547	244	85	197	221	198	15	25	70	80
67	1_2_31a_525_Ro_Ja.wav	0	0	34	2776	5407	234	92	97	212	98	15	25	70	80
68	1_2_32a_525_Ro_Ja.wav	0	1	34	2763	5569	244	92	197	222	198	15	25	70	80
69	1_1_46a_525_Ko_Ja.wav	0	0	35	2925	5633	234	88	97	211	98	15	25	70	80
70	1_1_47a_525_Ko_Ja.wav	0	1	35	3011	5719	244	88	197	221	198	15	25	70	80
71	1_3_10b_525_Ar_Ja.wav	0	0	36	3092	5795	234	81	97	213	98	15	25	70	80
72	1_3_11b_525_Ar_Ja.wav	0	1	36	3107	5803	244	81	197	223	198	15	25	70	80
73	1_1_40c_525_Ja_Ar.wav	0	0	37	2943	5651	234	82	97	211	98	25	35	50	60
74	1_1_41c_525_Ja_Ar.wav	0	1	37	2978	5576	244	82	197	221	198	25	35	50	60
75	1_2_25d_525_Mi_Ro.wav	0	0	38	2734	5330	234	89	97	212	98	25	35	50	60
76	1_2_26d_525_Mi_Ro.wav	0	1	38	2774	5377	244	89	197	222	198	25	35	50	60
77	1_1_37d_525_Mi_Ar.wav	0	0	39	3020	5650	234	79	97	211	98	25	35	50	60
78	1_1_38d_525_Mi_Ar.wav	0	1	39	2938	5608	244	79	197	221	198	25	35	50	60
79	1_2_19c_525_Ja_Ko.wav	0	0	40	2777	5382	234	86	97	212	98	25	35	50	60
80	1_2_20c_525_Ja_Ko.wav	3	1	40	2785	5337	244	86	197	222	198	25	35	50	60
81	3_2_31b_425_Ro_Ja.wav	0	0	41	3242	5368	235	92	96	212	99	25	35	60	70
82	3_2_32b_425_Ro_Ja.wav	0	1	41	3110	5317	245	92	196	222	199	25	35	60	70
83	3_2_21d_425_Ja_Ko.wav	0	0	42	3147	5367	235	86	96	212	99	25	35	60	70
84	3_2_19d_425_Ja_Ko.wav	0	1	42	3235	5428	245	86	196	222	199	25	35	60	70
85	3_1_48b_425_Ko_Ja.wav	0	0	43	3364	5619	235	88	96	211	99	25	35	60	70
86	3_1_46b_425_Ko_Ja.wav	0	1	43	3250	5465	245	88	196	221	199	25	35	60	70
87	3_3_22a_425_Ko_Ja.wav	0	0	44	3441	5706	235	87	96	213	99	25	35	60	70
88	3_3_23a_425_Ko_Ja.wav	0	1	44	3482	5635	245	87	196	223	199	25	35	60	70
89	3_3_34c_425_Ja_Ro.wav	0	0	45	3369	5632	235	93	96	213	99	25	35	70	80
90	3_3_35c_425_Ja_Ro.wav	0	1	45	3430	5600	245	93	196	223	199	25	35	70	80
91	3_1_52d_425_Ja_Ro.wav	0	0	46	3314	5584	235	94	96	211	99	25	35	70	80
92	3_1_54d_425_Ja_Ro.wav	0	1	46	3271	5530	245	94	196	221	199	25	35	70	80
93	3_2_25a_425_Ro_Mi.wav	0	0	47	3195	5480	235	89	96	212	99	25	35	70	80
94	3_2_26a_425_Ro_Mi.wav	0	1	47	3192	5310	245	89	196	222	199	25	35	70	80
95	3_2_13c_425_Mi_Ko.wav	0	0	48	3172	5485	235	83	96	212	99	25	35	70	80
96	3_2_14c_425_Mi_Ko.wav	0	1	48	3132	5296	245	83	196	222	199	25	35	70	80
97	3_1_41d_425_Ja_Ar.wav	0	0	49	3288	5517	235	82	96	211	99	25	35	80	90
98	3_1_42d_425_Ja_Ar.wav	3	1	49	3370	5600	245	82	196	221	199	25	35	80	90
99	3_3_10c_425_Ja_Ar.wav	0	0	50	3415	5669	236	81	96	213	99	25	35	80	90
100	3_3_11c_425_Ja_Ar.wav	0	1	50	3450	5711	246	81	196	223	199	25	35	80	90
101	3_3_16d_425_Mi_Ko.wav	0	0	51	3421	5614	236	84	96	213	99	25	35	80	90
102	3_3_17d_425_Mi_Ko.wav	0	1	51	3490	5633	246	84	196	223	199	25	35	80	90
103	3_1_51c_425_Mi_Ro.wav	0	0	52	3287	5595	236	91	96	211	99	25	35	80	90
104	3_1_49c_425_Mi_Ro.wav	0	1	52	3274	5403	246	91	196	221	199	25	35	80	90
105	3_3_4b_425_Ar_Mi.wav	0	0	53	3422	5682	236	78	96	213	99	35	45	60	70
106	3_3_5b_425_Ar_Mi.wav	0	1	53	3409	5580	246	78	196	223	199	35	45	60	70
107	3_2_7b_425_Ar_Ja.wav	0	0	54	3142	5502	236	80	96	212	99	35	45	60	70
108	3_2_8b_425_Ar_Ja.wav	0	1	54	3172	5367	246	80	196	222	199	35	45	60	70
109	3_2_1a_425_Ar_Mi.wav	0	0	55	3170	5333	236	77	96	212	99	35	45	60	70
110	3_2_2a_425_Ar_Mi.wav	0	1	55	3173	5381	246	77	196	222	199	35	45	60	70
111	3_1_43a_425_Ko_Mi.wav	0	0	56	3288	5473	236	85	96	211	99	35	45	60	70
112	3_1_44a_425_Ko_Mi.wav	0	1	56	3323	5565	246	85	196	221	199	35	45	60	70
113	3_1_37c_425_Mi_Ar.wav	0	0	57	3285	5482	236	79	96	211	99	35	45	70	80
114	3_1_38c_425_Mi_Ar.wav	0	1	57	3355	5526	246	79	196	221	199	35	45	70	80
115	3_3_28b_425_Ro_Mi.wav	0	0	58	3405	5604	236	90	96	213	99	35	45	70	80
116	3_3_29b_425_Ro_Mi.wav	3	1	58	3365	5627	246	90	196	223	199	35	45	70	80
117	3_3_22b_525_Ko_Ja.wav	0	0	59	4221	6853	237	87	97	213	99	35	45	70	80
118	3_3_23b_525_Ko_Ja.wav	0	1	59	4145	6807	247	87	197	223	199	35	45	70	80
119	3_3_16a_525_Ko_Mi.wav	0	0	60	4212	6783	237	84	97	213	99	35	45	70	80
120	3_3_17a_525_Ko_Mi.wav	0	1	60	4180	6817	247	84	197	223	199	35	45	70	80
121	3_2_25b_525_Ro_Mi.wav	0	0	61	3784	6380	237	89	97	212	99	35	45	80	90
122	3_2_26b_525_Ro_Mi.wav	0	1	61	3824	6427	247	89	197	222	199	35	45	80	90
123	3_1_40a_525_Ar_Ja.wav	0	0	62	3993	6701	237	82	97	211	99	35	45	80	90
